image_path,distractor_1,distractor_2,flag,ar,annotator_id,text
155139.jpg,I should get a new bed because I can save up to 65%,I should get a new swimsuit because I can save up 65% for a limited time,,I should get a quote on resorts because you can save up to 65% off.,3,"For a Limited Time...
SAV
UPT
跳65%
and receive up to 1 Free Night at Select Resorts!
Get a Quote
"
80795.jpg,I should try Shangrila variety packs because it will make tomatoes grow faster,I should try Shangrila because the sauce is great for pizza,,I should try Shangrila variety packs because it can add a boost of flavors to your recipes.,3,"hangtil
www.shangrila.com.pk
att
hangra
ria
TOMATO Garle chi
KETCHUP
Sauce
SMART PACK
SMART PACR
"
111381.jpg,I should use Ludlum because the company makes fine old maps,I should use Ludlum maps because they are made of steel,,I should use Ludlum Steel because the company has been around and it is reliable,3,"om an idustraed olap of 1854 he yeat Lunded
oi
Founded in 1851, Ladlum has seen the covered wagon fident of intelligent cooperation and the metallurgical and
vanish, the old frontiers diappear. In these B0 year, Lud. research facilities that are daily pioneering the new frontier
lum has been privileged to work hand in hand with the of teelunical advanoe
wide rep eciatiole andi Pomp-
se. Among th enerial steel,developed by Ladlam are analyǐ
ton tool steel had won nation-wide recognition. In the 20 of proven merit for a wide range of uses-High Speed
Ludlum's fine steels played a conspicuous part in railroad Tool.Alloy Die... Hot Work... Alloy Shock. and
expansion. For 80 years Ladlum has been a pioneer in re many others. Each is made to give superlative service under
the special conditions for which it i designed, whether to
earch and development.
Today, Ludlum produres a wide variety of tool and spe provide extra long wear, faster cutting, reduce distortion
cial alloy steele for the new rtir .that amazing and and breakage or lower unit production cost.
tion that still keeps America the wonder and envy of the
civiliaed world. Whatever the problem, whatever the
need, industrialists and engineers turn to Ladlu CoDE Ludlum Steel Company, Watervliet, New York
complete test data on Ludlam steels-are yours with
out obligation Just write to the Rescarch Department,
LUDLUM STEEL C OMPANY WATERVLIETNEW YORK
MAKERS OF , NE STEELS S'NCE 1854
155
"
29851.jpg,I should drink Coke because tins are easy to open,I should drink Coca Cola because I will get tired of it,,I should drink Coke because it will be refreshing.,3,"Coke has the taste
you never get tired of.
Coca-Cola in cans...quick to chill...easy to store.makes any pause the pause that
refreshes. Another reason why things go better, Coke after Coke after Colke.
ADE
"
155331.jpg,I should use Delta Airlines because Florida has woods,I should use Delta Airlines because I like playing volleyball,,I should use Delta Airlines because it can take me lots of places.,3,"A vacation choice ot
WOODS WAVES
The Great Smoky Mountains are cool, high and
full of fun. Asheville and Knoxville, national park
gateways, are next door by Delta for weekends of
play. No need to drive; hotel cars meet your plane.
From Charleston to Miami, ocean breezes sweep
inland with the cool of the sea. Summer fishing
and swimming are the best of the year, hotel rates
the lowest. Fly Delta to arrive fresh for play and
return fresh for work.
44-Passenger DC-4's Now in Service
CAGO
MUNCIE
DERSON
ASTLE
ATI
XINGTON
KNOXVILLE
GREENVILLE
SPARTANBURG
COLUJMBIA
ATLANTA
JACKSON
BIRMINGHAM
CHARLES
AUGUSTA
TON
TO DALLAS
WORTHMERIDIAN BIRM
SAVANNAH
BATON ROUGE
BRUNSWICK
NEW ORLEANS
JACKSONVILLE
Boggage Allowance Ample
for Most Sports Equipment
Velta
General Offices:
ATLANTA, GA
AIF LINES
MIAMI
For Reservations Call Your Travel Agent
"
54432.jpg,I should shop at Sprout's because peaches are sweet on Wednesdays,I should shop at Sprout's because walnuts are organic,,I should shop at Sprout's because they have good sales.,3,"SPECIAL
DOUBLE AD
WEDNESDAYS
TWD ADS, ONE DAY
DOUBLE THE DEALS!
Dark Chocolate
PecanS
FARMERS MARKET
September 23
Yellow Peaches
lb
Green Seedless Grapes
Red or Green
Leaf Lettuc
Celery or Green Bell Peppers
48
Jumbo Cantaloupes
Jumbo Ripe
Hass Avocados
California Large
Vine Ripe Tomatoes
Avocados
for
lb
for
Red Ripe Strawberries
(1 lb. clamshell).... 2 for $5
Bartlett or Bos
Pears. 88b.
Hothouse
Cucumbers....4 for $5
C Organic Large
Honeycrisp-Apples
lb
Fage
Greek Yogurt
Tejava Tea or
Aquahydrate Water
Simply Juice
Select varieties, 59 oz.
Heineken Lager or
Angry Orchard
Hard Cider
Select varieties, 6 pk., 12 oz.
Select varieties, 5.3-7 oz.
for
+CRV
+CRV
+CRV
Boulder Canyon
BUY 1 GET
2 FREE!
Less Sodium
lt Vinegarve Oil
&Sea
lb
pieces.
Save up to $6.58
SPROUTS OLD TYME BUTCHER SHOP
Fresh Columbia River
Steelhead
Boneless Skinless
Chicken A
POPw Trout Fillets
Breasts
Farm-fresh, never frozen,
Enjoy this classic baked, broiled
Farm-raised.
r grilled
$188
$ 99
lb.
Carlsbad - El Camino Real, Rancho Santa Fe; Chula Vista (2 indepen
El Cajon; Encinitas; Escondido; Hemet; La Mesa; Lemon Grove; Oceansi
Poway; San Diego Carmel Mountain Ranch, Gen
Point Loma, Rancho Bernardo, University City; San Marcos; Santee; Solana Beach; Temecula.
""Chula Vista Locations are independently owned and operated.
Hours of operation: Chula Vista Mon-Sun 7am-9pm Chula Vista-Eastlake Mon-Sun 7am-9pm
OPEN 7 DAYS
A WEEK
icensees
e Ave., North Park, Pacific Beach,
FOR STORE HOURS, VISIT US
ONLINE AT SPROUTS.COM
"
3204.jpg,I should read DC Comics because Superman will save me,I should read DC Comics because they have a magazine about a t-rex,,I should read DC Comics because they produce quality materials,3,"LOOK
FOR THIS
FAMOUS
AAORE THAN SYMBOL!
ow
ONAL
Wonde
DOG
YES, WITH SO MANY
DIFFERENT TITLES
ON THE NEWSSTANDS
SOME GOOD,
SOME BAD, SOME
AVERAGE, IT'S
HARD TO CHOOSE A
MAGAZINE YOURE
SURE TO LIKE,
BUT PEOPLE WHO
KNOW COMICS BEST, KNOW THAT
THE SUPERMAN D-C SYMBOL
ALWAYS MEANS A GOOD MAGAZINE .
GAINES
VALUE IN THE
"
130621.jpg,I should go to the Beauty Studio because they talk about brushes,I should go to the Beauty Studio because my hair will look shiny,,I should go to the Beauty Studio because it will make me look good,3,"Let's
Tallks
BrüshUp
ools
Meet us at the Beauty Studio
Meet us at the Beauty Studio
2
.Let's
Let's
Define
Contouring
Uncover
Concealer
Meet us at the Beauty Studio
Meet us at the Beauty Studio
"
110851.jpg,I should buy Oreo's because they make great sandwiches,I should buy Oreo's because children like magic,,I should buy Oreo's because then i can make friends. ,3,"OhlOh/ OREO
real chocolate creme sandwich!
Oe
NATIONAL
BISCUIT
COMPANY
"
94219.jpg,I should shop at sears because I will get free gifts,I should shop at sears because they have 76 year old napkins,,I should shop at sears because it is having a good sale.,3,"Gift
pecials
LINEN
PRINTS PRICED WAY DOWN
12 for Colorfast Handkerchief
Smartly Styled Handkerchiefs
21
record value even for Seara! Gay, vivid
shing desins
CoLORS White
E Beown or Red trimmine. Stale color
V23c
25 v 2515 Shpe. w, 1 o. Each. 21c
59c
LİNEN
18
26
in Box
in Box
în Box
ve. A Better Eive tinen whes it' low Women's quality inen rtment
hite cotton lawn with malticolor
and For His Glft
hetastitched bettǐ About 1の
titc
Women's styles Seme wits epoking, drawn threads H
aat color omre borders
enhanced with white satin
etripes. Kmbroldered initial
25 V 2322-Shpg"" wt., 5on.
25 V 2373-Shpg. wt→ $az,
25 V 2337-Shipping weight.
5 oe-
borders Soft
BARGAINS
about 171 17TH inehss
25V2588-Box
6 for 15c6r 35c 25c ach59c tadh
C lach
Beautifut hand
LovelytDainty Bre-
, Assortment ofl six pood nal touch. All white
fast celor woven bor-Liaven.Narrow hem
About 10 Im.square. 25 V 2335 Shipgint
t each. 2 oa
Pure Silk ED Fine lawn
95 50s
trged order
--solld colot
6 for 42c
6 for 25c
3 in Box 19c
Men prine the personal thought Grand handkerchief bargains forSee famoas Dionne quintup-
of initial 00L whiteieht in time to make your sift shopping lets in action on these cute hand
25 V 2587 SC
cottoa lawn.
inch hemetit
asy, Assortinent of plain white, white kerchiels Aift kiddies will
eatin stripe and aasorted faat eolor adote. Ansorted East color print
woven borders Cotton. Hemmed and ncotLos law. 1temmed edons
rench hem, Matching
color tayon and cot
About 16% . 17 Inche
s.
ine. Sate elr
25e tabi
25 V 2565 Shipping wcicht,
25 V 2344 Shoe. w
РАДЕ 76.v
SEARS
For Other Gifthlandkerchief, SeeOur Genera, Catolog.-
es..: 50c
"
171400.png,I should shop at Duram's Early Bird Special because they have second-hand bicycles,I should shop at Duram's Early Bird Special because I like kayaking,,I should shop at Duram's Early Bird Special in order to stock up on my camping and outdoor needs.  ,3,"EARLY BIRD SPECIALS
6 PM, THURSDAY NOV, 27
TO 3 PM, FRIDAY Nov. 28
SAVE 10% TO 50% ON CAMPING!'
Dunhams
164
$50
-50%
AFTER 3 PM
AFTER 3PM
SALE 7999
AFTER 3 PN
SALE 24999
27
FOR
AFTER 3 PN
SALE 29999
2794
GARMIN
AFTER 3 PN
SALE 3499
m
2499
…50%
FRACTIO
AFTER 3 PM
SALE 2999
Big Fraction30
SCOTT 2H
5% OFF
PERFORMANCE GOSLE
AFTER 3 PN
SALE 25999
1644
AFTER 3 PM
NATIONAL PRODUCTS
"
88913.jpg,I should buy a car because Abraham Lincoln is great,I should by a Lincoln LS because black cars are faster than BMWs,,I should by a Lincoln LS because it has great handling and performance.,3,"STIMULUS
The new V8 Lincoln LS
RESPONSE
Better handling performance than the 2003 BMW 540i
Test-drive the 2003 Lincoln LS and accelerate from 0 to 60 mph in 6.42
seconds. Visit Lincoln.com/FindLS or call 800 253-5166 now to locate a
dealer.Introducing the new lincoln LS. The driver's luxury car. Travel well.
""AM다certified testing of the 2003 Lincoln LS V8 and 2003 BMw 540.
LI N COLN
"
115497.jpg,I should drink this soda because the USA are bigger and better,I should drink Pepsi-Cola because it is ok,,I should drink this soda because its better and bigger,3,"A BIG OK
OL
EPS
BIGGER
BETTER
SPARKLING
FROM US.A
SATISFYING
"
49821.jpg,I should buy the latest Asus laptop because playing the piano is incredible,I should buy the latest Asus laptop because I can put it in a cage and play with it,,I should buy the latest Asus laptop line because the sound system has been amped up from the former models of laptops.,3,"WHEN WAS THE LAST TIME
YOU HEARD SOMETHING
INCREDIBLE ON A LAPTOP
Istradecing the en ASUS N Series
ASUS (intel
insearchofincredible.com
"
23766.jpg,I should purchase Chanel because purple and yellow match perfectly,I should purchase Chanel because I want to visit London,,I should purchase Chanel because it bold and in style,3,"CHANEL
2OLD BOND STREET
LONDON WI
31 SLOANE STREET LONDON w
"
77294.jpg,I should buy this makeup because it tastes like sugar and spice,I should buy this makeup because blonde girls like mistletoe,,I should buy this perfume.  because it will make me the right amount of naughty and nice. ,3,"sugar and spice..
naughty and nice
gifts to wear and share under the mistletoe..
or wherever holiday Dn is served.
"
52854.jpg,I should buy a Sony Ericsson because it's waterproof,I should buy a new Sony Ericsson because I like blue t-shirts,,I should buy a new Sony Ericsson because it will make me cool.,3,"Sony Ericsson
we uaLHnan
随身听音乐手机
Sony Ericsson
我。
音乐“纤锋”
王力宏
"
24660.jpg,I should buy a chevrolet because powerful surprises happened in 68,I should buy a chevrolet because it is easy to park next to a garden,,I should buy a chevrolet because they have a number of new models i may like,3,"Youre in for
powerful surprises
with the
68 Chevrolets
GM
Che
hevelle
Chevrolet
"
89975.jpg,I should wear Celine Dion perfume because I like swings,I should wear this dress because Celine Dion looks good,,I should wear Celine Dion perfume because it is fresh and fun.,3,"LIVE TO LOVE
CELINE DION
"
96093.jpg,I should buy a Mazda lamp because it will make me stronger,I should buy a Mazda lamp because it's good for my heart,,I should buy a Mazda lamp because it lasts longer,3,"In Leap Year
maidens' hopes grow
stronger
But Mazda Lamps
stay brighter
Longer
dl
Mazda
T-H
THE BRITISH THOMSON HO USTON COMPANY LIMITED 4385
"
17358.jpg,I should buy Aspire One Netbook because it will make me invisible,I should buy this Internet router because Acer makes invincible laptops,,I should buy aspire one netbook because the services will race ahead.,3,"acer
Invisible Internet.
Invincible Speed
Acer brings you India's first 3G ready Netbook with inbuilt Broadband. Be the
first to experience dongle-free Internet at blazing speed and longer battery life
Race ahead with Acer Aspire One AOD 260
NETBOOK
"
137714.jpg,I should drink milk because otherwise I will be misinterpreted, I should drink milk because everything I do is wrong,,I should drink milk because it will make me feel better ,3,"got milk?
APOLOGIZE-
FOR LETTING YOU MISINTERPRET
WHAT/ WAS SAYING.
MiLk
EVERYTHINGIDO IS WRONG.ORG
MILK CAN HELP REDUCE THE SYMPTOMS OF PMS.
"
126515.jpg,I should buy this model Rolls Royce because it will send the silver ghost away,I should buy this model because the most famous people drive Rolls Royces,,I should buy this model Rolls Royce because it's an authorized model of the most famous rolls royce,3,"The official authorized die-cast model of
the most famous Rolls-Royce ever...
THE SILVER GHOST
"
70439.jpg,I should bank with HSBC because women from Iran like American films,I should bank with HSBC because they film women in unexpected places,,I should bank with HSBC because they will work with the less fortuanate.,3,"Only 4% of American films
are made by women.
In Iran it's 25%.
We find potential in the
most unexpected places.
Do you?
HSBC
The world's local b
"
24619.jpg,I should drive a Chevrolet Chevelle because horses know how well it rides,I should drive a Chevrolet Chevelle because I like to collect stones by the river,,I should drive a Chevrolet Chevelle because the full coil suspension will give me a comfortable ride,3,"Malibu Super Sport Coupe, gone a wandering
If you want to know how well it rides,
wander off the Interstate a ways.
CHEVELLE by Chevrolet
Spend some time. See horses, cows and countryside
Sample what our Full Coil suspension does for comfort.
Highways try a car one way, byways another
Chevelle handles both in mannerly fashion. A
big coil spring at each wheel soaks up jolts and
jars, unruffling the most rumpled roads.
Malibu Super Sport Coupe. Foam cushioned tight sted 120-hp Six on up to whatever you
seats come upholstered ail in vinyl. There are like for cruising the Interstate or exploring
buckets up front, separated by a sporty the countryside.
console when you order Powerglide or the
If you're the adventurous sort, maybe you
There's a double-action shock absorber for 4-speed. There's also a full set of instruments should see your Chevrolet dealer about a
each coil spring, too, and a front stabilizer bar for the driver, ashtrays and armrests and Chevelle today. Get yourself a road map, too.
to straighten out the curves. If all that isn't stretch-out room for people in back, deep-twist.Chevrolet Division of General Motors,
enough, its frame design, special body mounts carpeting underfoot for everybody.
and acoustic insulation help keep Chevelle Chevelle's handsome styling is obvious
going smooth and quiet.
Detroit, Michigan
enough above, except the gracefully curved
CHEVROLET
We put more comfort in Chevelle than just side windows are down. Chevelle's power you
the ride, though. You should see inside this order to suit yourself, anything from our
"
73351.jpg,I should buy IBM because I like cloudy days,I should buy IBM because clouds will personalise my laptop,,I should buy IBM products because they have a lot of features.,3,"Avec IBM, personnalisez
toujours plus votre Cloud.
devintage de personelnation, de matrise et de flesbi
8
Nhdstez phs, boostsz votre Cloud avec Ibm.comloud
"
176715.png,I should buy this smartphone because I like exploring the galaxy,I should buy this smartphone because I will get a big pen,,I should buy this product to keep up with the latest cell phone.,3,"THE NEXT BIG THING IS HERE
SAMSU
SAMSUNG
SAMSUNG
SAMSUNG
Galaxy S6 edge+
Galaxy Note5
"
173484.png,I should buy this product because I like yellow cans,I should buy this drink because I can kick the can afterwards,,I should buy this product cause the caffeine guarantees a kick.,3,"KİCKS Days
HYDRATING BOOST
"
3641.jpg,I should stop smoking because I want a quick help,I should stop smoking because bullets are slow,,I should stop smoking because it is slowly killing me.,3,"Quick,
Slow.
WANT HELP? PHONE THE SMOKELINE ON 0800 84 84 84. rmano..
"
21810.jpg,I should fund NHS because red buses keep me sane,I should fund the EU because NHS will remain sane,,I should fund NHS because we should take back control,3,"REMAINSANE
We send the EU £350 million a wee
let's fund our NHS instead Vote Leav
Let's take back control ②_
"
160238.jpg,I should purchase a Volvo xc90 because I like red seats,I should purchase a Volvo xc90 because polestar seats are a force,,I should purchase a Volvo xc90 because it is a powerful car,3,"7 SEATS OF
ABSOLUTE POWER
INTRODUCING THE polestar OPTIMISED 240BHP
XC90 T5 R-DESIGN. A FORCE TO BE RECKONED WITH
polestar
OFFICIAL VOLVO RACING PARTNER
VOLVO
Volvo XC90
UTMOST POWER MEETS LUXURY AT ITS FINEST.
IMAGINE A MACHINE THAT COMBINES INCREDIBLE POWER WITH THE COMFORTS OF A 7-SEATER
FIRST-CLASS CABIN. THE VOLVO XC90 T5 R-DESIGN OFFERS AN ELEVATED DRIVING EXPERIENCE WITH THE
NEW POLESTAR POWER OPTIMISATION, THE SAME TECHNOLOGY THAT POWERS VOLVO'S RACE CARS.
SPECIALLY TUNED BY VOLVO, IT NOW CARRIES MORE HORSEPOWER, TORQUE AND SHEER EXHILARATION
WITHOUT AFFECTING THE ORIGINAL WARRANTY. VISIT OUR SHOWROOM TO EXPERIENCE IT TODAY.
VOLVO
Volvo. for life
WEARNES
AUTOMOTIVE
assion driven
Alexandra Road
pore 1
59935 New & Pre-Owned Sales: 647
1
488 Leasing: 6876 5063 www.volvocars.com.s
pec
906
own
"
166518.jpg,I should buy the gum because Halloween has a great value,I should buy the gum because I will be a clown for Halloween,,I should buy the gum because it is a favorite and great value,3,"Wrigley's Gum-the Halloween
e Great value.
. Each stick individually wrapped.
Won't spoil young appetites.
"
14893.jpg,I should celebrate the national rotisserie chicken day because I like a bonfire,I should celebrate June 2nd because I can burn my chicken,,I should celebrate June 2nd  because it is national rotisserie chicken day ,3,"ROTISSERIE
CHICKEN
JUNE2ND
#RotisserieChickenDay
day?
"
44417.jpg,I should join this program because I like flying over North America,I should join this program because planes play with a ball,,I should join this program because they represent america,3,"IS THE SPIRIT
AT NORTH AMERICAN AVIATION
Bombers, Fighters and Combat Trainers take wing from
the North American assembly lines at an ever increas-
ing rate. From alert eyes over the drafting boards
to expert hands in the shops, 15,000 North American
employees ""Play Ball"" as a team of production champs.
Their teamwork has enabled us to meet or beat every
scheduled delivery date...to produce airplanes from
a new million square foot Texas plant 120 days after
construction began. Our real pride is in the coopera-
tive spirit behind these achievements. We believe it is
the key to successful production for America's defense
NORTH AMERICAN AVIATION, INC
Dallas
INGLEWOOD, CALIF.
Kansas City
TO BUILD WITH TEAMWORK IS
"
93507.jpg,I should try karate because leaders of tomorrow always take trial courses,I should try a trial course of Karate because my child will take advantage of leaders,,I should try a trial course of Karate because it will help my child be a leader and build self esteem,3,"LEADERS OF TOMORROW
Take advanatge of our trial course.
Call To Register - 708-445-9252
"
142518.jpg,I should get some lipstick because my new uniform has arrived,I should get some lipstick because it was created during the French Revolution,,I should get some lipstick because it will make my lips look beautiful.,3,"THE
REVOLUTION
HAS ARRIVED
"
174517.png,I should shop at Sephora because Elizabeth Jacobs is glamorous,I should shop an eye pencil because Sephora wears a striped t-shirt,,I should shop at Sephora because of all of the great beauty products they have.,3,"SEP
CƠ
Cゴ
"
140952.jpg,I should use Manhattan Mini Storage because I will get radiation from outer space,I should use Manhattan Mini Storage because I will see stars in the outer space,,I should use Manhattan Mini Storage because it will help me fell more organized.,3,"Make your home or office
feellike outer space.
(minus all the radiation)
Ready to declutter your atmosphere?
manhattanministorage.com
"
123264.jpg,I should buy RC products because cherries are good for my diet,I should buy RC products because two bottles are better than one,,I should buy RC products because they have different sorts of sodas.,3,"RC Products
.RC COLA
.DIET RC COLA
CHERRY
RC COLA
"
128983.jpg,I should buy Samsung Corby because I'm going to a festival,I should buy Samsung Corby because Jamaican smartphones are orange,,I should buy Samsung Corby because they come in fun colors on their cases.,3,"SAMSUN
Seliqlm
jamaicanyellow
festivalorange
cupidpink
minimalwhite
Samsung Corby S3653
SAMSUNG
Samsung
moblle
"
177879.png,I should rent mini storage unit because I like my wife and kids.,I should rent clothes because I like to dress up.,,I should rent  mini storage unit because I am running out of room for all of my stuff.,5,"Mini Storage
212-STORAGE
ILIKE MY WIFE AND
KIDS, BUT I LOVE
MY STORAGE ROOM.
Manh
Mini S
12-ST
FREE RIDES manhattan
FOR YOU &YOUR STUF ON OUR mini storage
STORAGE TAXI 212-STORAGE
SOME RESTRICTIONS APPLY
"
43805.jpg,I should try to capture my own alien because I tried the new men in black ice coffee and undercover cocoa donut.,I should try the new men in black ice coffee and undercover cocoa donut because it gives me tentacles.,,I should try the new men in black ice coffee and undercover cocoa donut because i can eat them.,5,"CAPTURE YOUR OWN ALIEN
Scen here or teat MIB3% DUNKIH a1454.)
N BLACK
N THEATERS MAY 25
New
LACK COCOA CREME
CED COFFEE
OPCREME
UNDERCOVER
BLACK COCOA
DONUT
"
39286.jpg,I should buy Dior because my twin likes it.,I should buy Dior because it'll make my hair blond.,,I should buy Dior because it'll make me glamourous,5,"or
ior
"
47299.jpg,I should get an apple armband because I live in California.,I should get an apple because it loves to run.,,I should get an apple armband because i like to run,5,"This is it
This is what matters
The experience of a
How it makes someone feel.
When you start by imagining
What that might be like
You step back.
You think
Who will this help?
Will it make life better?
Does this deserve to exist?
If you are busy making everything
How can you perfect anything?
We don't believe in coincidence.
Or dumb luck.
There are a thousand 'nos""
For every 'yes
We spend a lot of time
On a few great things.
Until every idea we touch
Enhances each life it touches
We're engineers and artists
Craftsmen and inventors
We sign our work
You may rarely look at it
But you'll always feelit
This is our
And it means
hing
Designed by Apple in California
"
87744.jpg,I should wear Levi's jeans because they are made of leather.,I should wear copper rivets because they are made by Levi's.,, I should wear Levi's jeans   because they are a quality brand ,5,"BUTTON FLY
The appeal of Levi's as an authentic yet contemporary brand
is embodied by the button fly on its jeans. Buttons were used
on the original pair of 50ls, designed 20 years before the zipper was
created. Levi's eventually replaced the buttons with a zipper, hoping to
broaden the brand's appeal to female customers. But more recently, it
reintroduced the button fly on the 501
LEATHER
PATCH
In 1886
Levi's introduced a
leather patch branded
with an image of
pants that are so
strong, they can't
be pulled apart by
two horses.
COPPER
RIVETS
Levi's
got its start as the
durable workwear of
choice of gold pros-
pectors in the 1850s.
The copper-rivet
feature was created
by Jacob Davis, Levi
Strauss' tailor, who
placed them at points
of strain to make the
jeans sturdier.
RED TAB
Levi's has worked throughout its history
to distinguish itself from other denim lines.
In 1936 it added as an identifying mark the red tab
stitched with LEVI'S® to the right back pocket of its
eans, where it still appears today.
BACK-POCKET STITCHING
Since 1873, Levi's has stitched
BATWING
Designed
by Walter
the back pockets of its jeans
with two connecting double arches that
Landor in 1967, the
red batwing-shape
housemark, signifying
the upper portion
of the back pocket,
acts as visual short
hand for the brand.
meet in the center. It is the oldest known
apparel trademark in the U.S.
"
69608.jpg,I should buy a Honda accord because it is much too expensive.,I should buy a sweetheart because they are good at driving.,,I should buy a Honda accord because they have a quality car with tons of rave reviews,5,"lhe E lorda Accord is far and away the best compactin the
land. Its engine hums contentedly. Its ride is smooth and quiet. Its
interior isa modelof good taste and expensive-looking accoutre-
ments"" (Car and Drrcer, May 1982)
""In short, the Honda Accord gets my vote for best all-around
car under S10,000 (shingonian, January 1983)
From the standpoint of product value, though, Honda has
given the new model what it takes to capture the attention of
thoughtful buyers. (Road Thk Janary 1982)
around sweethearts to drive. (Gar and Driver January 1982)
rewarding to spend time with.Car and Drier January 1982)
high marks GMotor Tirend June 1983)
a family sedan. After all why should drivingcease tobe pleasure-
It is to Hondas everlasting credit that the cars are such all-
""They are beautifully put together, very comfortable, and
The new 4-speed automatic overdrive transmission merits
""Hard comering is something the Accord does quite well for
ful just because you have a family"" Motor Trend, January 1982)
can buy:""(Car and Dricer May 1982)
The Accordisone of the best sedans of any size that money
An acknowledged benchmark Motor tiend June 1983)
""How do you follow a benchmark?ONDA
Car and Drrer, January 1982)
The Accod 4-Door Scclin
"
153939.jpg,I should use diamond t because its on fire.,I should use diamond t because I am a phoenix.,,I should use diamond t because its reliable,5,"FANNINS
Fuel for a Thousand Fires at Phoenix
...with DIAMOND T reliability
"
144306.jpg,I should shop with my husband because that is classic.,I should shop at Talbots because they sell bushes.,,I should shop at Talbots because i will look classy.,5,"albet
t . TT'S A CLASSIC
Stores1-800-TALBOTS falbotce
,
"
110017.jpg,I should get an Oldsmobile because it knows the way.,I should get an Oldsmobile this year because it is a great motorcycle.,,I should get an Oldsmobile because it is stylish.,5,"A YEAR IN ADVANCE !
THATS WAY AHEAD, TOO!
Tat's thecanig way drive...Tat' the
ultra sn'""n°'t.il.inil""-tvǐing, Tiirm"""" rvHrnli-
ing sess in evecy rail of this new d
inli''"" sneas. İte
,""ritvelisttrul.
GM
HYDRA MATIC
"
149189.jpg,I should get brunswick because it is a great airline.,I should get brunswick because it is a beautiful beach.,,I should get brunswick because it will help me relax,5,"NewNouveau
warmwater.ca Brunswick
"
832.jpg,I should buy BVLGARI because it helps me to swim.,I should buy BVLGARI because it makes my hair long.,,I should buy BVLGARI because it makes me sexy,5,"BVLGA R I
AQVA
DIVINA
"
16608.jpg,I should shop at this store because they sell christmas garments.,I should shop at this store because they sell catalogues.,,I should shop at a this store because they have many items.,5,"OldMagazineArticles.com
Magazine Advertisement: December, 1917~
ESTABLISHED 1818
1818
м://nn4.
NEWPORT SALES-OFFICES
BOSTON SALES OFFICES
TREMONT COR. BOYLSTON STREET
2 2 0, BELLE V UE AVENU E
MADISON AVENUE COR. FORTY FOURTHSTREET
NEW YORK
Telephone Murray Hill 8800
||14 C H R I S T M A S 1917
HE articles and garments pictured and priced on this page are only a small selection from our
large stock of useful Christmas Gifts for Men and Boys. Special emphasis has been made above of
outfittings for the military man, but a visit to our store or a glance at our Illustrated Catalogue, a copy
of which will be sent on request, will show that equal provision has been made for gifts to civilians.
ith and wit
t cases $1 50-$3 00
Trench coats, mackintosh
ercoats, $22 00-$70 00
Officers'
Pocket kniv
Officers' whistle
Pipes, tobacco
Clovls Calive dralb wol or ian leather $1 95-95 50
icks $1 00-$50 00
$1 50-$15 00
81 00-812 00
$I 25-$5 50
ord, or strap 75c-$1
zings and puttees of leather or wool, strap spiral or spring
Le
$1 25-$16 00
$4 50-S1
Stocking
Spurs and spur straps $3 00-$3 50
Shi
Officers' bla
Mi
es, cigar
r metal $1 25-815 00
$2 75-3 25
Compasses 2 25-$t 00
St
$6 50-$16 00
erchief cases $ 00-87 00
me with radium numerals, some with
eaka
ets, bedding rolls, sleeping bags, carryalls $15 00-$25 0
812 00-830
pairs, with o w
an
ains $1 00-$6 00
$1
2 00-$15 00
Na
rushes 50c-$1 50
oin purses $1 00-83 00
$7 50-S18 00
es 1 00-85 00
nd ha
Sam Bro
Leat
Pocket search-lights $1 35-$1 75
Belts of olive drab webbing or tan leather 50c-$3 00
Aviators' helmets $8 50-$24 00
Officers, hat cords 75c-81 00
Olive drab wool caps, helmets, etc. 82 75-$10 00
Joffre money belts in olive drab canvas o
brushes enclosed 75c $3 00
Soap boxes, some w
Shaving brus
Safety-razor sets $3 50-$11 75
Metal trench mirrors in leather cases 75c 4 50
Red Cross first-aid and medical kits $1 00-$3 00
Officers' dressing cases, fitted and unfitted, English and domestio
ph cases, wa
nd bill folds $1 00-$18
some telescope style $I 25-$6 00
$6 00-SI0 00
ede 85c-S2 50
hoe horn and button hooks 75c-$1 25
and worsted sweaters $6 50-$25
Officers' trunks $10 00-$15 00
o1dMagazineArticles.com
"
113929.jpg,I should buy this razor because it'll make me trendy.,I should buy this phone because it is signed.,,I should buy this phone because it'll make me trendy,5,"PG-1400
"
34486.jpg,I should take a cruise to the Orient on American President cruise lines because it would be great to sail on a small boat and go on an adventure.,I should take a swim to the Orient through the American President ocean because the water is so nice and blue.,,I should take a cruise to the Orient on American President cruise lines because it would be a great vacation/trip and they sail often so i'd have a good chance at getting the dates i want.,5,"SAILING TO
THE ORIENT
NOVEMBER 5
SS PRESIDENT HOOVER
NT
"
30040.jpg,I should drink Coca Cola because it gives me a headache.,I should drink glass because it is delicious and refreshing.,,I should drink Coca Cola  because it is classic ,5,"For Headache
and Exhaustion
DRIK
A GLASS
DELICIOUS& REFRES
"
43729.jpg,I should drink Dunkin Donuts coffee because I love to run.,I should drink the coffee because it is made of donuts.,,I should drink Dunkin Donuts coffee because a lot of other americans drink it.,5,"MERICA RUNS ON
"
