image_path,distractor_1,distractor_2,ar
174178.png,I should attend this institute of learning because the dean has a great moustache and there are many group meetings.,"I should attend this ranking because it has many advantages, highlights and placements.",I should attend this institute of learning because the professors are very well credentialed and the facilities are world class.
106071.jpg,I should wear new balance because they are good for recording music tracks.,I should wear new balance because they include a first aid kit.,I should wear new balance because they are good running shoes
172925.png,I should wear this cologne because it has nice abs.,I should wear this cologne because it is essential for doing sports.,I should wear this cologne so I can be free
174285.png,I should use this product because I am a black person.,I should use this product because it is Friday.,I should use this product because it is stylish.
172820.png,I should have a Kit Kat because it is a great and sturdy chair.,I should have a Kit Kat because it easily breaks apart.,I should have a Kit Kat because it will make me feel put together.
47426.jpg,I should buy an imac because my dreams have told me so.,I should buy a dream because it is such a good computer.,I should buy an imac because it is the computer i have dreamed of.
12035.jpg,I should buy a lion because it is made in india.,I should buy from the Man Pasand company because india is a lion.,I should buy from the Man Pasand company because they support india.
103019.jpg,I should wear Nike because I love to play soccer with elephants.,I should wear Nike because my carbon footprint loves sports.,I should wear Nike because it is natural.
10195.jpg,I should drink Miller High Life because shiny wood makes it right.,I should drink Miller High Life because pretzels are right for conversation.,I should drink Miller High Life because it's the beer our father's drank in the 1980's
85045.jpg,I should buy Lancome products because I want to improve my vision.,I should buy Lancome products because I can go to Paris.,I should buy Lancome products because of their vision for all women.
158178.jpg,"I should sign up for Virgin Mobile because it is the last chance to choose A, B or C.",I should sign up for Virgin Mobile because it is a great festival happening this Friday.,I should sign up for Virgin Mobile because it is simple and there is a limited time deal.
131637.jpg,I should use Integrate lip gloss because it is such a nice shiny ring.,I should use lip gloss because it integrates well with my pores.,I should use Integrate lip gloss because it will make me beautiful like a movie star.
133976.jpg,I should learn to speak Spanish because i will become a small green man.,I should learn to speak Tipografia because it looks like an interesting language.,I should learn to speak Spanish because i will understand ads like these.
47575.jpg,I should buy the Apple iWatch because it has too many holes.,I should buy the Apple iWatch because I hate colourful circles.,I should buy the Apple iWatch because it is fashionable.
65714.jpg,I should order Hanes online because they sell cute dogs.,I should order a dog online because it has free shipping.,I should order Hanes online because they have free shipping.
60551.jpg,I should purchase a poster because I have a brain.,I should purchase GE products because I want to support brains.,I should purchase GE products because i want to support the advancement of technology.
51833.jpg,I should wear a trumpet because I like Mulberry clothes.,I should wear Mulberry clothes because people who wear mulberry play the trumpet.,I should wear Mulberry clothes because people who wear mulberry are attractive and talented.
119741.jpg,I should buy Prada perfume because it is such a tasty infusion.,I should buy Prada perfume because I have pretty make up.,I should buy Prada perfume because it is fashionable.
35989.jpg,I should get a Hercules bike because I want to show New York.,I should get a Hercules bike because today is such a fine day.,I should get a Hercules bike.  because it is built to last.
125768.jpg,I should wear Chanel makeup because I have shiny brown hair.,"I should wear Chanel makeup because it is from 2012, such a good year.",I should wear Chanel makeup because it will give you a great looking makeup look. 
62126.jpg,I should buy these clothes because I live in Paris.,I should buy these clothes because I will only see in black and white.,I should buy these clothes because i will look like a model
15784.jpg,I should buy Parker Bros. because they are very awesome sunglasses.,I should buy Parker Bros. games because they are totally cold.,I should buy Parker Bros. games because a game expert likes them.
46269.jpg,I should buy 3 musketeers because it is a big adventure.,I should buy 3 musketeers because it is a big secret.,I should buy 3 musketeers because its fun chocolate
55961.jpg,I should not vote for Clinton because she always promises.,I should vote for Clinton because she loves giving away security funds.,i should not vote for Clinton because she wants to cut social security funds
24632.jpg,I should buy a Chevrolet because the lady has a dog,I should buy a Chevrolet because I will get a new body.,I should buy a vintage Chevrolet because it is beautiful.
62831.jpg,I should buy these tissues because golf does not make you cry.,I should buy these tissues because they come with a hole in the grass.,I should buy these tissues because they're endorsed by an athlete.
148435.jpg,I should be purchasing Toshiba because a red chair is nice.,I should be purchasing Toshiba because you can sleep better.,I should be purchasing Toshiba because it stands out.
87779.jpg,I should buy these overalls because the overalls will pay you.,I should buy these overalls because horses like them.,I should buy these overalls.  because they are the preferred brand of the hardest-working and most rugged men. 
123930.jpg,I should buy shoes because they take excellent pisctures.,I should buy these shoes because they are not from the Jean Michel Basoutat edition.,I should buy these shoes because there are lots to choose from.
87531.jpg,I should buy green shoes because they are a strong first impression and a good way to begin college with.,I should not buy a lenovo laptop because it will not help you in college and forwards this page to friends.,I should buy shop lenovo because it's a cool brand that's hip and it also brings great tools that are useful
177010.png,I should go to the clearout event because it only features silver Nissan cars.,I should go to this event because it features deals until the end of October.,"I should go to this event, because it features deals that make it the perfect time for me to buy a Nissan.  "
28730.jpg,I should drink this whiskey because it can talk and say it all.,I should drink this whiskey because it makes hair look nice and full.,I should drink more alcohol.  because then i would come off as more attractive. 
73698.jpg,I should buy this car because it is red.,I should buy this shirt because it will make my closet have muscles.,I should buy these shirts.  because i appreciate old cars. 
164887.jpg,I should drink this beer because it makes you smell like an idiot.,I should drink this beer because it is made of gooseberry.,I should drink this beer because I don't understand much about wine
110393.jpg,I should go to old navy because you can buy red leggings there.,I should buy a trumpet from old navy because they come with stripes.,I should go to old navy because it is a fun place to shop.
111163.jpg,I should buy this product because it comes with a knight in armour.,I should buy this product because you can stop having meals and still get all needed vitamins.,I should buy this product because it's healthy and helps make children happy.
159114.jpg,I should buy a Lincoln because dogs like it.,I should buy a Lincoln because the car speaks to its owner.,I should buy a Lincoln because nothing could be finer
79084.jpg,I should buy a cocktail because it comes with a little yellow umbrella.,I should buy Kate Spade clothing because it comes with colorful drinks.,I should buy Kate Spade clothing because it is fashionable and fun.
177345.png,I should buy this ice cream because it is not vanilla.,I should buy this ice cream because I can only get it in the jungles of Madagascar.,"I SHOULD BUY THIE ICE CREAM BECAUSE ALTHOUGH IT IS VANILLA, IT IS NOT PLAIN."
24201.jpg,I should buy pepsi max because they can help your vision.,I should buy pepsi max because I will have green eyes.,I should buy pepsi max because pepsi max will keep you awake.
118162.jpg,I should buy this candy because I can find a penguin inside it.,I should buy this candy because it does not have a hole.,I should buy this candy because it looks cool and refreshingly minty.
27494.jpg,I should go to Jamaica because there is little sunshine.,I should go to Jamaica because a thread leads me there.,I should go to Jamaica because its fun
32929.jpg,I should wear pearls because this girl is beautiful and you can't believe there is make-up on the magazine.,I should not wear Cover Girl face makeup because the complexion is not natural.,I should wear Cover Girl face makeup because i might just snag me a husband just like this girl did and the makeup will make me look and feel my best.
45521.jpg,I should buy from this store because 3rd party products are on sale.,I should buy from this store because boats are nice.,I should buy from this store because they're having a summer sale.
116218.jpg,I should go vegetarian because a girl is on my plate.,I should go vegetarian because a girl is in a wooden cage. ,I should go vegetarian because eating meat is cruel to animals.
110138.jpg,I should buy a ford because flags are colourful.,I should not buy a ford because its four doors are not convenient for families.,I should buy a ford because they have great gas milege
126036.jpg, I should wear Revlon because my eyes will be blue., I should wear Revlon because it comes with sparkling jewels.,I should be wearing Revlon.  because my eyes are like fine pieces of jewelry. 
51394.jpg,I should buy make up because a pink car is cool.,I should buy make up because golden eagles are nice.,I should buy make up because it will make me look beautiful. 
10008.jpg,I should drink a star because it is one choice,I should drink Heineken because I see the ring,I should drink Heineken beer.  because it's always the best choice. 
55083.jpg,I should buy the rules because I like to be free and wear stylish shoes,I should buy Fila shoes because they are for free,I should buy Fila shoes.  because they will help me run in style. 
140.jpg,I should get this hard drive because it can protect me,I should get a protection because it will preserve my keyboard,I should get this hard drive because it will be durable
45096.jpg,I should buy 25 lemons because there is a big offer,I should buy a Dixie cup because my daughter can't reach it,I should buy the dixie cup dispenser because it is only .25.
145165.jpg,I should buy some fruit because it is sweet,I should buy a Tesla because it tastes bitter,I should buy a car from Tesla because it is the car of the future.
57338.jpg,I should play a friendly game because grass is green,I should play a football game because I can get a magazine,I should play football because there is a pick up game coming up. 
1139.jpg,I should buy an Audi because my financial planner has luxurious interiors of leather,I should buy a new car for myself because it was pre-owned by an Audi dealer,I should buy an Audi Assured because it won the automotive magazines all sta award in 1998.
61760.jpg,I should buy some gourmet sauces because they can make my baby sweet,I should buy some award-winning babies because they like barbecue ,I should buy Sweet Baby Rays sauce because it has won an award.
156054.jpg,I should wear red lipstick because I am a woman,I should wear Van Heusen because it makes good sportswear,I should wear Van Heusen because it is stylish.
48537.jpg,I should be drinking Aquafina because I'll go to Nigeria,I should be drinking Moet & Chandon because I like crowns,I should be drinking Moet & Chandon.  because it is stylish.
176924.png,I should drive a Ram because my heart has eight chambers,I should drive a Ram because the desert has eight protected chambers  ,I should drive a Ram because they're very powerful trucks.
51571.jpg,I should purchase Elizabeth Arden after 5 perfume because my day begins in the 5th avenue ,I should purchase this perfume because Elizabeth Arden wears a golden dress after 5 pm,I should purchase Elizabeth Arden after 5 perfume because after 5 is when my day really begins after the work day. 
137862.jpg,I should buy Toyota because the spirit of leader grows on green fields,I should buy Toyota because college leaders lack courage,I should buy Toyota because they support college leaders.
59685.jpg,I should buy Busch and Busch Light because nascar has fast crowds on fuel stations,I should buy Busch and Busch Light because speed pays off when you wear a yellow jacket,"I should buy Busch and Busch Light because speed rules the fans, crowd and nascar. "
31908.jpg,I should wear converse because kids were sporty in 1961,I should wear converse because basketball players wear a suit ,I should wear converse because they are good sporty shoes
32819.jpg,I should use Covergirl because lightweight coverage makeup drew barrymore's bracelet fits me,I should use Covergirl because drew barrymore said that one-size-fits-all makeup is bad for your hair,"I should use Covergirl because its unique to me, my style, does a lot and i want to be like drew barrymore"
67308.jpg,I should save water because I have to water the plant in the hourglass,I should save water because the dry soil keeps more water ,I should save water because it is good for the environment
24659.jpg,I should buy a car with hydra matic drive because smart people buy new cars,I should buy a car with hydra matic drive because blue cars are smarter ,I should buy a car with hydra matic drive because it is a smarter car.
160656.jpg,I should buy the Wang calculator because I can record my songs on two tape cassette units ,I should buy the Wang calculator because women like external memory devices ,I should buy the Wang calculator because it has extended memory or dual tape cassette unit.
165056.jpg,I should drink Oberoi wine because Italians like purple,I should drink Oberoi wine because I am thirsty ,I should drink Oberoi wine  because it is italian 
102986.jpg,I should be planting trees because it will speed up loading bars,I should be planting trees because I like to wait for them to grow ,I should be planting trees because i care about my environment.
25943.jpg,I should buy a Harvest Independence tractor because its new size fits my farm ,I should buy a Harvest Independence tractor because 345 farms make more profit than me,I should buy a Harvest Independence tractor  because it is an all crop harvester 
90079.jpg,I should buy Jim Beam because sean connery is a distinctive man,I should buy Jim Beam because Jim beam and sean connery hate Bourbon ,I should buy Jim Beam because sean connery told me to.
32838.jpg,I should buy nail care from cover girl because I have nothing to hide in my salon ,I should buy nail care from cover girl because hiding beautiful nails is a problem,I should buy nail care from cover girl because it is easy to use
99474.jpg,I should order Minute Maid at Wendys because fries are refreshing,I should order Minute Maid at Wendys because on Mondays I am maniac ,I should order Minute Maid at Wendys because it is delicious 
103199.jpg,I should shop in the philippines because passion fruit is all around there ,I should shop in the philippines because love birds carry all bags,I should shop in the philippines  because they are pro-enviorment 
91943.jpg,I should buy Magnovox because toreros from Granada are elegant,I should buy Magnovox because color tvs must have sliding doors,I should buy Magnovox because it would look good in the house
65590.jpg,I should eat hagan daas ice cream because the UK has tasty strawberries,I should eat hagan daas ice cream because luxury maximises my strawberries sales ,I should eat hagan daas ice cream  because i will become luxurious 
125264.jpg,I should stay at this resort because club chairs are good for hiking,I should stay at this resort because they offer horseback riding on stumps,I should stay at this resort because they offer glamorous camping.
75794.jpg,I should buy food from this company because freestyle coke is made of bacon,I should buy food from this company because sourdough is good for my ranch ,I should buy food from this company because it serves coke and tasty burgers.
144298.jpg,I should wear L'Oreal because their shampoo expires in 60 days,I should wear L'Oreal because Paris is a vibrant city,I should wear L'Oreal because it is vibrant.
66376.jpg,I should hire this lawfirm because they will cure my headache with lots of paperwork,I should hire this lawfirm because they offer a free consultation for my grey hair ,I should hire this lawfirm because you have been injured and want proper representation.
24778.jpg,I should drive a camaro because thunderstorms are frequent in the USA ,I should drive a camaro because it takes charge of storms,I should drive a camaro because it is an impressive car. 
30715.jpg,I should buy from Columbia because attractive people release fishes in the sea ,I should buy from Columbia they have lots of pockets to store beautiful green jackets ,I should buy from Columbia because they have lots of pockets and are vented for doing things outdoors.
32310.jpg,I should wear converse because all stars have unforgettable memories,I should wear converse because policemen revisit the past,I should wear converse because they are a classic
160228.jpg,I should buy a swimming pool because I like to drive vintage cars,I should buy a Volvo because it makes 1974 trips to Europe,I should buy a Volvo because they last a long time.
127275.jpg,I should plan to have children soon because they are going to love to play with a burned doll,I should plan to call the firefighters because they can save my children's burnt doll,I should plan an escape route if my house catches on fire because i want to make it out alive
176362.png,I should buy colourful outfits because they are great for sitting on a vintage car,I should buy this product because women pick breathless scenes,I should buy this product because it will attract beautiful women.
129471.jpg,I should buy a beach lounger because is's small but perfectly formed,I should buy a new camera because the sea is perfectly formed,I should buy this camera because it is small but perfectly formed.
174620.png,I should not smoke because I'm inside,I should smoke because I have curly hair,I should not smoke because it's ugly.
137817.jpg,I should get a new tennis racket because I don't want to stop,I should get gatorade because it fails to stop,I should get gatorade because it is good for energy
46347.jpg,I should play the arcade hits because it has twice as many green dragons and simultaneous actions,I should play Double Dragon III because it has only two characters and thee simultaneous actions,I should play Double Dragon III because there are twice the characters and three times the action
108508.jpg,I should get a colourful monster because Nokia recommends it,I should get a nokia phone because it kills,I should get a nokia phone because it is modern.
172509.png,I should experiment with pink lipstick because I can get a donut,I should experiment with a charcoal donut because her hair is cool,I should experiment with this because it looks tasty
102955.jpg,I should always use a yellow helmet while working because this can build my future and keep me safe,I should use a KeraKoll helmet because it has nice rabbit ears on it and values nature,I should use KeraKoll for my building projects they 'build the future' while not disrupting the environment.
102455.jpg,I should check out this mascara because I can get a 50% off,I should check out this green nail polish because they're here!,I should check out thecouponingcouple.com because they have good deals listed.
13961.jpg,I should follow my paper aeroplane because of its powering potential,I should follow my dreams because I am investing in possibilities,I should follow bny mellon because it has powering potential
67287.jpg,I should give a hand to wildlife because WWF can make my hands look like elephants with tiny little fangs,I should give up putting on fangs on my hands because WWF protects wildlife and likes elephants,I should give to the WWF because i like elephants and i can give money from my hand to help them
171149.png,I should buy a new fridge because it only costs $20 million,I should buy some small appliances because they last 3 days,I should buy products in this sale because it will save me money.
112731.jpg,I should use caution when throwing away cables because whales risk extinction,I should use wires because they are like whales risking extinction,I should use wireless instead of wires because it will help reduce waste in the world.
149210.jpg,I should vacation to a mountain because I can see 800 big skies,I should vacation to Montana because white clouds will follow me,I should vacation to Montana because there are beautiful views to see.
73555.jpg,I should eat more fish because it looks like a bottle,I should eat snails because I eat what my food eats,I should eat better food because i am what i eat - literally
64387.jpg,I should buy a red dress because I guess it's unfashionable,I should buy Guess because I will have a net behind me,I should buy this Guess handbag because it will make me more attractive.
127280.jpg,I should wear a helmet because I can be a turtle!,I should wear a turtle shell because it is slow,I should wear a helmet.  because it is important. 
174536.png,I should use a nice travel because I like to walk on wooden bridges,I should use this service because it doesn't offer unforgettable experiences,I should use this service because it offers benefits and rewards.
172160.png,I should read my family tree because it can show me for how many generations heart disease has been in my family,I should read this Heart Research Centre message because I can have a family tree growing inside my heart and staying there for generations,"I should head this Heart Research Centre message, because it alerts me that my body and it's organs are the product of many environments and many lives. "
31044.jpg,I should want to be covered in snow because it looks warm,I should want a jacket because it's 20% correct,i should want to get this because it look warm
71983.jpg,I should support freedom because it has a nice hand writing,I should support this organization because they make handwritten keys,I should support this organization because they want a free world.
103118.jpg,I should protect spiders because otherwise their webs will be torn apart,I should protect nature because I like to make ribbons on spiderwebs,I should protect and conserve nature because it is important to the environment
134944.jpg,I should smoke because I'll fade away,I shouldn't smoke because it'll turn me into a puff,I shouldn't smoke because it shortens my life.
